unique_word,count,stem,syllables,length,weights
grange,2,5.0,5.0,6.0,0.992859121579838
sirs’,2,5.0,0.0,5.0,0.992859121579838
dozes,2,4.0,5.0,5.0,0.992859121579838
blacktop,2,8.0,7.0,8.0,0.992859121579838
halfclosed,2,8.0,0.0,10.0,0.992859121579838
jingly,2,6.0,0.0,6.0,0.992859121579838
hj,2,2.0,0.0,2.0,0.992859121579838
featherstone’s,2,13.0,0.0,14.0,0.992859121579838
kinetoscope,2,10.0,0.0,11.0,0.992859121579838
lapse,2,4.0,4.0,5.0,0.992859121579838
grayhaired,2,8.0,0.0,10.0,0.992859121579838
ngc,2,3.0,0.0,3.0,0.992859121579838
apparitions,2,7.0,8.0,11.0,0.992859121579838
henceforth’,2,11.0,0.0,11.0,0.992859121579838
micyy,2,5.0,0.0,5.0,0.992859121579838
cellos,2,5.0,0.0,6.0,0.992859121579838
ords,2,3.0,0.0,4.0,0.992859121579838
thewater,2,6.0,0.0,8.0,0.992859121579838
thriller,2,8.0,5.0,8.0,0.992859121579838
copenhagens,2,10.0,0.0,11.0,0.992859121579838
waterhole,2,8.0,0.0,9.0,0.992859121579838
doting,2,4.0,5.0,6.0,0.992859121579838
dyrehavsbakken,2,14.0,0.0,14.0,0.992859121579838
rutschebanen,2,12.0,0.0,12.0,0.992859121579838
anatomical,2,6.0,10.0,10.0,0.992859121579838
euromir,2,7.0,0.0,7.0,0.992859121579838
spacerace,2,8.0,0.0,9.0,0.992859121579838
beautys,2,6.0,0.0,7.0,0.992859121579838
raiser,2,6.0,4.0,6.0,0.992859121579838
looper,2,6.0,4.0,6.0,0.992859121579838
malbéte’,2,8.0,0.0,8.0,0.992859121579838
interru,2,7.0,0.0,7.0,0.992859121579838
freshmade,2,8.0,0.0,9.0,0.992859121579838
authoritative,2,8.0,10.0,13.0,0.992859121579838
39feethigh,2,10.0,0.0,10.0,0.992859121579838
draak,2,5.0,0.0,5.0,0.992859121579838
damper,2,6.0,5.0,6.0,0.992859121579838
joris,2,4.0,0.0,5.0,0.992859121579838
656,2,3.0,0.0,3.0,0.992859121579838
galileos,2,7.0,0.0,8.0,0.992859121579838
equanimity,2,7.0,10.0,10.0,0.992859121579838
worldfriends,2,11.0,0.0,12.0,0.992859121579838
jaspreet,2,8.0,0.0,8.0,0.992859121579838
coroner,2,5.0,6.0,7.0,0.992859121579838
adriana,2,7.0,7.0,7.0,0.992859121579838
ahanu,2,5.0,0.0,5.0,0.992859121579838
marchant,2,8.0,7.0,8.0,0.992859121579838
earthwho,2,8.0,0.0,8.0,0.992859121579838
parksmade,2,8.0,0.0,9.0,0.992859121579838
palaeontology,2,12.0,0.0,13.0,0.992859121579838
flintstones,2,9.0,10.0,11.0,0.992859121579838
fantasythemed,2,11.0,0.0,13.0,0.992859121579838
dualtracked,2,9.0,0.0,11.0,0.992859121579838
renaissances,2,7.0,0.0,12.0,0.992859121579838
mewing,2,3.0,0.0,6.0,0.992859121579838
sidearm,2,7.0,6.0,7.0,0.992859121579838
160000,2,6.0,0.0,6.0,0.992859121579838
‘fare,2,5.0,0.0,5.0,0.992859121579838
multipurpose,2,11.0,10.0,12.0,0.992859121579838
australiathe,2,11.0,0.0,12.0,0.992859121579838
gladden,2,7.0,6.0,7.0,0.992859121579838
murderously,2,6.0,0.0,11.0,0.992859121579838
côte,2,4.0,0.0,4.0,0.992859121579838
divoire,2,6.0,0.0,7.0,0.992859121579838
evils,2,4.0,5.0,5.0,0.992859121579838
goingson,2,8.0,0.0,8.0,0.992859121579838
